Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,8.710000,8.710000,8.580000,8.590000,8.590000,1987000
2018-09-11,8.600000,8.680000,8.580000,8.620000,8.620000,2283300
2018-09-12,8.640000,8.660000,8.570000,8.600000,8.600000,1248800
2018-09-13,8.630000,8.710000,8.550000,8.630000,8.630000,1976400
2018-09-14,8.680000,8.850000,8.650000,8.820000,8.820000,1666400
2018-09-17,8.700000,8.830000,8.700000,8.800000,8.800000,1236400
2018-09-18,8.730000,8.780000,8.620000,8.740000,8.740000,1574900
2018-09-19,8.760000,8.950000,8.690000,8.880000,8.880000,1654900
2018-09-20,8.890000,8.910000,8.790000,8.840000,8.840000,1035200
2018-09-21,8.900000,8.970000,8.810000,8.910000,8.910000,2837700
2018-09-24,8.840000,8.940000,8.830000,8.880000,8.880000,953400
2018-09-25,8.880000,8.900000,8.730000,8.880000,8.880000,2121700
2018-09-26,8.930000,9.090000,8.900000,9.000000,9.000000,1856400
2018-09-27,9.040000,9.140000,8.960000,9.020000,9.020000,2393400
2018-09-28,9.080000,9.110000,9.040000,9.110000,9.110000,2221300
2018-10-01,9.070000,9.120000,9.020000,9.050000,9.050000,1212300
2018-10-02,9.060000,9.160000,9.020000,9.060000,9.060000,2062600
2018-10-03,9.000000,9.100000,9.000000,9.080000,9.080000,1371000
2018-10-04,9.020000,9.020000,8.750000,8.790000,8.790000,2631900
2018-10-05,8.760000,8.820000,8.650000,8.670000,8.670000,1563400
2018-10-08,8.670000,8.720000,8.620000,8.660000,8.660000,875900
2018-10-09,8.650000,8.690000,8.570000,8.620000,8.620000,917700
