Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,3.270000,3.300000,3.250000,3.290000,3.290000,6699200
2018-09-11,3.300000,3.300000,3.250000,3.260000,3.260000,5194200
2018-09-12,3.270000,3.280000,3.250000,3.260000,3.260000,3917900
2018-09-13,3.280000,3.290000,3.260000,3.270000,3.270000,6742100
2018-09-14,3.280000,3.330000,3.270000,3.310000,3.310000,5634900
2018-09-17,3.300000,3.300000,3.260000,3.280000,3.280000,5752700
2018-09-18,3.270000,3.280000,3.230000,3.270000,3.270000,5632600
2018-09-19,3.280000,3.370000,3.270000,3.370000,3.370000,9126900
2018-09-20,3.370000,3.380000,3.350000,3.370000,3.370000,3816800
2018-09-21,3.390000,3.390000,3.350000,3.350000,3.350000,9484200
2018-09-24,3.350000,3.370000,3.340000,3.360000,3.360000,3016700
2018-09-25,3.370000,3.390000,3.350000,3.360000,3.360000,5366500
2018-09-26,3.370000,3.400000,3.360000,3.390000,3.390000,7224700
2018-09-27,3.390000,3.390000,3.350000,3.360000,3.360000,4829300
2018-09-28,3.390000,3.400000,3.360000,3.370000,3.370000,4679900
2018-10-01,3.370000,3.390000,3.340000,3.360000,3.360000,2247400
2018-10-02,3.320000,3.360000,3.310000,3.320000,3.320000,4169400
2018-10-03,3.350000,3.380000,3.310000,3.350000,3.350000,4398900
2018-10-04,3.320000,3.340000,3.280000,3.310000,3.310000,3939700
2018-10-05,3.300000,3.310000,3.250000,3.260000,3.260000,4859700
2018-10-08,3.250000,3.270000,3.240000,3.240000,3.240000,4824800
2018-10-09,3.240000,3.240000,3.210000,3.220000,3.220000,2836300
